waveform	[0]		[1]	
t0	24/10/2022  15:22:58,677474		24/10/2022  15:22:58,677474	
delta t	4,000000E-7		4,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
24/10/2022  15:22:58,677474	1,884422E-1	24/10/2022  15:22:58,677474	-1,206030E-4
24/10/2022  15:22:58,677474	2,010050E-1	24/10/2022  15:22:58,677474	-1,809045E-4
24/10/2022  15:22:58,677475	1,884422E-1	24/10/2022  15:22:58,677475	-2,110553E-4
24/10/2022  15:22:58,677475	1,884422E-1	24/10/2022  15:22:58,677475	-1,507538E-4
24/10/2022  15:22:58,677476	2,010050E-1	24/10/2022  15:22:58,677476	-1,608040E-4
24/10/2022  15:22:58,677476	2,010050E-1	24/10/2022  15:22:58,677476	-1,507538E-4
24/10/2022  15:22:58,677476	2,010050E-1	24/10/2022  15:22:58,677476	-1,306533E-4
24/10/2022  15:22:58,677477	2,010050E-1	24/10/2022  15:22:58,677477	-1,608040E-4
24/10/2022  15:22:58,677477	2,010050E-1	24/10/2022  15:22:58,677477	-2,211055E-4
24/10/2022  15:22:58,677478	1,884422E-1	24/10/2022  15:22:58,677478	-1,708543E-4
24/10/2022  15:22:58,677478	1,884422E-1	24/10/2022  15:22:58,677478	-1,909548E-4
24/10/2022  15:22:58,677478	2,010050E-1	24/10/2022  15:22:58,677478	-1,608040E-4
24/10/2022  15:22:58,677479	2,010050E-1	24/10/2022  15:22:58,677479	-1,708543E-4
24/10/2022  15:22:58,677479	2,010050E-1	24/10/2022  15:22:58,677479	-1,507538E-4
24/10/2022  15:22:58,677480	2,010050E-1	24/10/2022  15:22:58,677480	-1,507538E-4
24/10/2022  15:22:58,677480	1,884422E-1	24/10/2022  15:22:58,677480	-2,010050E-4
24/10/2022  15:22:58,677480	2,010050E-1	24/10/2022  15:22:58,677480	-1,909548E-4
24/10/2022  15:22:58,677481	2,010050E-1	24/10/2022  15:22:58,677481	-1,708543E-4
24/10/2022  15:22:58,677481	2,010050E-1	24/10/2022  15:22:58,677481	-1,105528E-4
24/10/2022  15:22:58,677482	1,884422E-1	24/10/2022  15:22:58,677482	-1,306533E-4
24/10/2022  15:22:58,677482	2,010050E-1	24/10/2022  15:22:58,677482	-2,211055E-4
24/10/2022  15:22:58,677482	1,884422E-1	24/10/2022  15:22:58,677482	-1,507538E-4
24/10/2022  15:22:58,677483	2,010050E-1	24/10/2022  15:22:58,677483	-1,708543E-4
24/10/2022  15:22:58,677483	2,010050E-1	24/10/2022  15:22:58,677483	-1,407035E-4
